# inner_x,inner_y,inner_vel,center_x,center_y,center_vel,outer_x,outer_y,outer_vel,race_x,race_y,race_vel
-10.977428,-2.38273,5.999721789127319,-10.940877,-2.942462,5.999725121256313,-10.906977,-3.502908,5.999733666906608,-10.664967,-3.703515,6.0
-11.305736,-2.471084,5.99974702220647,-11.272404,-3.031683,5.999752740651612,-11.241803,-3.593017,5.9997627454577485,-11.051079,-3.80769,6.0
-11.634044,-2.559439,5.999775490295768,-11.603931,-3.120905,5.9997816752562105,-11.576629,-3.683128,5.9997905022565625,-11.437184,-3.91189,6.0
-11.962351,-2.647796,5.999800723374916,-11.935457,-3.210129,5.999806664232908,-11.911454,-3.77324,5.99981627642689,-11.630234,-3.963999,6.0
-12.290658,-2.736155,5.999825309452039,-12.266983,-3.299354,5.999833626023559,-12.246279,-3.863354,5.999844694101869,-12.016329,-4.068236,6.0
-12.618964,-2.824515,5.999854424543365,-12.598508,-3.388581,5.999862560628157,-12.581104,-3.953469,5.9998731117768465,-12.402418,-4.172496,6.0
-12.94727,-2.912875,5.9998803046245435,-12.930033,-3.477809,5.999887549604853,-12.915928,-4.043585,5.999898225071011,-12.7885,-4.276778,6.0
-13.275576,-3.001237,5.9999042436996355,-13.261558,-3.567037,5.999913853790854,-13.250752,-4.133702,5.999926642745988,-12.98154,-4.328928,6.0
-13.603881,-3.0896,5.999932064786902,-13.593082,-3.656267,5.999942130790802,-13.585576,-4.22382,5.999952416916315,-13.367614,-4.433241,6.0
-13.932187,-3.177964,5.9999553568599655,-13.924607,-3.745497,5.999963174139602,-13.9204,-4.313938,5.999972243201183,-13.753683,-4.537573,6.0
-14.260492,-3.266327,5.9999747669208485,-14.256131,-3.834727,5.999981587069803,-14.255223,-4.404057,5.999988104229079,-13.946716,-4.589747,6.0
-14.588797,-3.354692,5.999989000965498,-14.587655,-3.923958,5.99999276634885,-14.590047,-4.494176,5.999996034743026,-14.332778,-4.694105,6.0
-14.917102,-3.443056,5.999996117987822,-14.919179,-4.013189,5.999998027186049,-14.92487,-4.584295,6.0,-14.718836,-4.79848,6.0
-15.245407,-3.531421,6.0,-15.250703,-4.10242,6.0,-15.259694,-4.674414,6.0,-14.911863,-4.850673,6.0
-15.573712,-3.619786,5.9999987059959405,-15.582227,-4.191651,5.999995396767449,-15.594517,-4.764533,5.999992730362214,-15.297915,-4.955068,6.0
-15.902018,-3.70815,5.999990941971587,-15.913752,-4.280882,5.999985532697702,-15.929341,-4.854652,5.999980173715131,-15.683964,-5.059475,6.0
-16.230323,-3.796514,5.999978648933025,-16.245276,-4.370112,5.999970407790752,-16.264165,-4.94477,5.999962330058748,-15.876988,-5.111683,6.0
-16.558628,-3.884878,5.999961179878229,-16.5768,-4.459342,5.999950679651253,-16.598989,-5.034887,5.999939860269234,-16.263033,-5.216105,6.0
-16.886934,-3.973241,5.999939181809228,-16.908325,-4.548571,5.999924375465255,-16.933813,-5.125003,5.9999107817180946,-16.649075,-5.320535,6.0
