hidden_dim,epochs,control_outputs,curriculum,eps_per_input,wheelbase,training_loss,test_loss,ade,fde
16.0,200.0,60.0,TRUE,1.0,0.4502000000000000,0.0015333333285525400,0.0017725793877616500,0.04630191624164580,0.10496137291193000
16.0,200.0,60.0,TRUE,1.0,0.42020000000000000,0.0015315285418182600,0.0017896182835102100,0.04692604020237920,0.10757017880678200
16.0,200.0,60.0,TRUE,1.0,0.41020000000000000,0.0015335981734097000,0.0017886055866256400,0.046801336109638200,0.10741846263408700
16.0,200.0,60.0,TRUE,1.0,0.4402000000000000,0.0015364475548267400,0.0017797393957153000,0.04689986631274220,0.1071230098605160
16.0,200.0,60.0,TRUE,1.0,0.4902000000000000,0.001535124727524820,0.001783252228051420,0.04810662195086480,0.10944425314664800
16.0,200.0,60.0,TRUE,1.0,0.4702000000000000,0.0015372935449704500,0.0017819465138018100,0.047971103340387300,0.11010022461414300
16.0,200.0,60.0,TRUE,1.0,0.5102000000000000,0.0015381411649286700,0.0017801382346078800,0.04806509241461750,0.108780637383461
16.0,200.0,60.0,TRUE,1.0,0.4802000000000000,0.0015353454509750000,0.0017825085669755900,0.047051697969436600,0.10587284713983500
16.0,200.0,60.0,TRUE,1.0,0.5002000000000000,0.001533804927021270,0.001784934545867150,0.047926001250743900,0.10845767706632600
16.0,200.0,60.0,TRUE,1.0,0.5202000000000000,0.0015320448437705600,0.0017842247616499700,0.047105565667152400,0.10463938117027300
16.0,200.0,60.0,TRUE,1.0,0.5302000000000000,0.0015359470853582000,0.0017819219501689100,0.04917174577713010,0.1124473363161090
16.0,200.0,60.0,TRUE,1.0,0.5402000000000000,0.0015348301967605900,0.0017834230093285400,0.04746067896485330,0.10551947355270400
16.0,200.0,60.0,TRUE,1.0,0.5502000000000000,0.0015339755918830600,0.0017902253894135400,0.04813479259610180,0.10626193135976800
16.0,200.0,60.0,TRUE,1.0,0.5602000000000000,0.0015362912090495200,0.00178666936699301,0.04776548221707340,0.10717297345399900
16.0,200.0,60.0,TRUE,1.0,0.5702000000000000,0.0015333651099354000,0.0017913267947733400,0.04820939525961880,0.1066962406039240
16.0,200.0,60.0,TRUE,1.0,0.5802000000000000,0.0015355946961790300,0.00178400834556669,0.049341555684804900,0.11116039752960200
16.0,200.0,60.0,TRUE,1.0,0.6002000000000000,0.0015355624491348900,0.0018006719183176800,0.0503293052315712,0.11302726715803100
16.0,200.0,60.0,TRUE,1.0,0.5902000000000000,0.0015372011112049200,0.001786206616088750,0.04837791621685030,0.10785724222660100
16.0,200.0,60.0,TRUE,1.0,0.6302000000000000,0.0015355497598648100,0.001787391840480270,0.04892202466726300,0.10692398995161100
16.0,200.0,60.0,TRUE,1.0,0.6202000000000000,0.0015370252076536400,0.0017936559161171300,0.04942703992128370,0.11050555855035800
16.0,200.0,60.0,TRUE,1.0,0.6402000000000000,0.0015376429073512600,0.0017791432328522200,0.051632799208164200,0.11610167473554600
16.0,200.0,60.0,TRUE,1.0,0.6502000000000000,0.0015428690239787100,0.0017944546416401900,0.05061833932995800,0.11121904850006100
16.0,200.0,60.0,TRUE,1.0,0.6102000000000000,0.0015330833848565800,0.0017866615671664500,0.048575013875961300,0.10671531409025200
16.0,200.0,60.0,TRUE,1.0,0.6602000000000000,0.0015350541798397900,0.0017852538730949200,0.049732327461242700,0.10923898220062300
16.0,200.0,60.0,TRUE,1.0,0.6802000000000000,0.0015376443043351200,0.0017962990095838900,0.04974775016307830,0.10836505144834500
16.0,200.0,60.0,TRUE,1.0,0.7002000000000000,0.0015404840232804400,0.0018001542193815100,0.05050450190901760,0.10998040437698400
16.0,200.0,60.0,TRUE,1.0,0.6702000000000000,0.0015392624773085100,0.001791729941032830,0.05044909939169880,0.11162659525871300
16.0,200.0,60.0,TRUE,1.0,0.7102000000000000,0.0015397508395835800,0.0018037741538137200,0.050786375999450700,0.11080318689346300
16.0,200.0,60.0,TRUE,1.0,0.7402000000000000,0.0015397242968902000,0.0017984400037676100,0.05094211548566820,0.11003673821687700
16.0,200.0,60.0,TRUE,1.0,0.7202000000000000,0.0015394483925774700,0.0018008132465183700,0.050776682794094100,0.11019553244113900
16.0,200.0,60.0,TRUE,1.0,0.7502000000000000,0.0015438044210895900,0.0018043010495603100,0.051453378051519400,0.11102843284606900
16.0,200.0,60.0,TRUE,1.0,0.7302000000000000,0.0015406900784000800,0.001810333109460770,0.05070671811699870,0.10960040986537900
16.0,200.0,60.0,TRUE,1.0,0.6902000000000000,0.0015400359407067300,0.001797060831449930,0.05029679089784620,0.10921944677829700
16.0,200.0,60.0,TRUE,1.0,0.7702000000000000,0.0015470177168026600,0.0018134446581825600,0.05353851243853570,0.11383974552154500
16.0,200.0,60.0,TRUE,1.0,0.7602000000000000,0.0015454995445907100,0.001807852298952640,0.05158744007349010,0.1117386668920520
16.0,200.0,60.0,TRUE,1.0,0.7802000000000000,0.0015461741713807000,0.0017944410210475300,0.05195169523358350,0.11215274780988700
16.0,200.0,60.0,TRUE,1.0,0.7902000000000000,0.0015449104830622700,0.0018124856287613500,0.051535747945308700,0.10912861675024000
16.0,200.0,60.0,TRUE,1.0,0.8002000000000000,0.001547766150906680,0.0017953418428078300,0.05210205167531970,0.11141117662191400
16.0,200.0,60.0,TRUE,1.0,0.8102000000000000,0.001545963459648190,0.0018132906407117800,0.051999449729919400,0.1102275624871250
16.0,200.0,60.0,TRUE,1.0,0.8202000000000000,0.001549217733554540,0.0018116310238838200,0.05329565331339840,0.11347690969705600
16.0,200.0,60.0,TRUE,1.0,0.8302000000000000,0.0015470054931938600,0.001803591032512490,0.05247294157743450,0.11149705201387400
16.0,200.0,60.0,TRUE,1.0,0.8502000000000000,0.0015497691929340400,0.001793127623386680,0.05265934020280840,0.11102425307035400
