hidden_dim,epochs,control_outputs,curriculum,eps_per_input,wheelbase,training_loss,test_loss,ade,fde
16.0,200.0,60.0,True,1.0,0.5501999999999998,0.001600649207830429,0.0014252396067604423,0.04736234247684479,0.11148469895124435
16.0,200.0,60.0,True,1.0,0.5601999999999998,0.0015982891200110316,0.0014356307219713926,0.047688595950603485,0.1121518462896347
16.0,200.0,60.0,True,1.0,0.5701999999999998,0.0016015557339414954,0.0014283430064097047,0.04800214618444443,0.1125807836651802
16.0,200.0,60.0,True,1.0,0.5801999999999998,0.001598427421413362,0.0014214656548574567,0.04781977832317352,0.11195667088031769
16.0,200.0,60.0,True,1.0,0.5901999999999998,0.0015992189291864634,0.0014219640288501978,0.04809701070189476,0.1121235266327858
16.0,200.0,60.0,True,1.0,0.6001999999999998,0.0016007405938580632,0.0014247741783037782,0.04840477555990219,0.11246982961893082
16.0,200.0,60.0,True,1.0,0.6101999999999996,0.0016020456096157432,0.0014756823657080531,0.05147268623113632,0.12131810188293457
16.0,200.0,60.0,True,1.0,0.6201999999999996,0.0016046881210058928,0.0014323163777589798,0.04911722242832184,0.11328209936618805
16.0,200.0,60.0,True,1.0,0.6301999999999996,0.001605694880709052,0.0014334500301629305,0.049263354390859604,0.11327730119228363
16.0,200.0,60.0,True,1.0,0.6401999999999997,0.0016067583346739411,0.0014448028523474932,0.05031123012304306,0.11619699746370316
16.0,200.0,60.0,True,1.0,0.6501999999999997,0.001602010102942586,0.001463100896216929,0.051534898579120636,0.11921852082014084
16.0,200.0,60.0,True,1.0,0.6601999999999997,0.001607447280548513,0.0014408212155103683,0.04986659437417984,0.11500002443790436
16.0,200.0,60.0,True,1.0,0.6701999999999997,0.0016038037138059735,0.0014345993986353278,0.04969063028693199,0.11297845095396042
16.0,200.0,60.0,True,1.0,0.6801999999999997,0.0016069157281890512,0.0014523763675242662,0.05086243152618408,0.11722136288881302
16.0,200.0,60.0,True,1.0,0.6901999999999997,0.0016064303927123547,0.0014494070783257484,0.05086240917444229,0.11682376265525818
16.0,200.0,60.0,True,1.0,0.7001999999999997,0.0016130383592098951,0.0014397600898519158,0.050105053931474686,0.1144348755478859
16.0,200.0,60.0,True,1.0,0.7101999999999997,0.0016129997093230486,0.0014406696427613497,0.05025938153266907,0.1148051917552948
16.0,200.0,60.0,True,1.0,0.7201999999999997,0.001611830317415297,0.001442100154235959,0.05064716562628746,0.11527006328105927
16.0,200.0,60.0,True,1.0,0.7301999999999997,0.0016128490678966045,0.001447472139261663,0.05125171318650246,0.11698257178068161
16.0,200.0,60.0,True,1.0,0.7401999999999997,0.0016152248717844486,0.00143552222289145,0.05076868459582329,0.11457610875368118
16.0,200.0,60.0,True,1.0,0.7501999999999998,0.001610706327483058,0.0014598950510844588,0.05357993021607399,0.12109767645597458
16.0,200.0,60.0,True,1.0,0.7601999999999998,0.001612550695426762,0.0014526750892400742,0.05294923111796379,0.11919530481100082
16.0,200.0,60.0,True,1.0,0.7701999999999996,0.00160975381731987,0.0014626035699620843,0.05385900288820267,0.1207357719540596
16.0,200.0,60.0,True,1.0,0.7801999999999996,0.0016168536385521293,0.0014344746014103293,0.05143704637885094,0.11476831138134003
16.0,200.0,60.0,True,1.0,0.7901999999999996,0.0016171351308003068,0.0014607766643166542,0.05381102114915848,0.12021993100643158
16.0,200.0,60.0,True,1.0,0.8001999999999996,0.001617449801415205,0.0014487282605841756,0.05275161564350128,0.11885637789964676
16.0,200.0,60.0,True,1.0,0.8101999999999996,0.0016104185488075018,0.0014512654161080718,0.05367230251431465,0.11874457448720932
16.0,200.0,60.0,True,1.0,0.8201999999999996,0.001610296661965549,0.0014611390652135015,0.05473819747567177,0.12105587124824524
16.0,200.0,60.0,True,1.0,0.8301999999999996,0.0016094965394586325,0.0014527071034535766,0.05442468449473381,0.11963389068841934
16.0,200.0,60.0,True,1.0,0.8401999999999996,0.0016178024234250188,0.0014894279884174466,0.056782566010951996,0.12647616863250732
16.0,200.0,60.0,True,1.0,0.8501999999999996,0.001611271989531815,0.0014463114785030484,0.05431865155696869,0.11847814172506332
16.0,200.0,60.0,True,1.0,0.8601999999999996,0.0016193082556128502,0.001452479511499405,0.05409547686576843,0.12057509273290634
16.0,200.0,60.0,True,1.0,0.8701999999999996,0.001611315063200891,0.0014445018023252487,0.05444921553134918,0.11801750957965851
16.0,200.0,60.0,True,1.0,0.8801999999999996,0.001610773615539074,0.0014524946454912424,0.05523745343089104,0.11991161853075027
16.0,200.0,60.0,True,1.0,0.8901999999999997,0.0016074922168627381,0.0014321092749014497,0.05378691107034683,0.11571919918060303
16.0,200.0,60.0,True,1.0,0.9001999999999997,0.0016132142627611756,0.0014510467881336808,0.055327072739601135,0.11975079029798508
16.0,200.0,60.0,True,1.0,0.9101999999999997,0.0016111016739159822,0.0014499861281365156,0.05590015649795532,0.1201075091958046
16.0,200.0,60.0,True,1.0,0.9201999999999997,0.0016117950435727835,0.001441235071979463,0.05484669655561447,0.1176251694560051
16.0,200.0,60.0,True,1.0,0.9301999999999995,0.001612374559044838,0.0014514247886836529,0.05596494674682617,0.11995979398488998
16.0,200.0,60.0,True,1.0,0.9401999999999995,0.001612869556993246,0.0014420888619497418,0.05555064603686333,0.11878770589828491
16.0,200.0,60.0,True,1.0,0.9501999999999995,0.001613383530639112,0.001458879909478128,0.05698079615831375,0.12200353294610977
16.0,200.0,60.0,True,1.0,0.9601999999999995,0.001626817393116653,0.001445592613890767,0.05572754144668579,0.11796997487545013
16.0,200.0,60.0,True,1.0,0.9701999999999995,0.0016148996073752642,0.0014318266185000539,0.055856477469205856,0.11759191006422043
16.0,200.0,60.0,True,1.0,0.9801999999999995,0.0016222677659243345,0.001441580825485289,0.05601580813527107,0.11893477290868759
16.0,200.0,60.0,True,1.0,0.9901999999999995,0.0016125986585393548,0.0014373678714036942,0.05588795989751816,0.11792370676994324
16.0,200.0,60.0,True,1.0,1.0001999999999995,0.0016179310623556376,0.001432269113138318,0.05602355673909187,0.11666560173034668
16.0,200.0,60.0,True,1.0,1.0101999999999995,0.001618910115212202,0.0014314597938209772,0.05661087483167648,0.1183178499341011
16.0,200.0,60.0,True,1.0,1.0201999999999996,0.0016225461149588227,0.0014449196169152856,0.05691315606236458,0.11955434083938599
16.0,200.0,60.0,True,1.0,1.0301999999999996,0.001622513635084033,0.0014350288547575474,0.056638844311237335,0.11752734333276749
16.0,200.0,60.0,True,1.0,1.0401999999999996,0.0016180886887013912,0.0014473691117018461,0.05767688900232315,0.1208006963133812
16.0,200.0,60.0,True,1.0,1.0501999999999996,0.001618583220988512,0.0014396418118849397,0.05732268467545509,0.11885736882686615
